Sl. No.,State/UT,Total Annual Ground Water Recharge,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction - Irrigation,Current Annual Ground Water Extraction - Industrial and Domestic,Current Annual Ground Water Extraction - Total,Stage of Ground Water Extraction (%)
1,Andhra Pradesh,24.15,22.94,6.6,1.03,7.63,33.26
2,Arunachal Pradesh,3.19,2.92,0.003,0.01,0.01,0.36
3,Assam,27.05,21.97,1.97,0.6,2.58,11.73
4,Bihar,28.05,25.46,10.33,2.69,13.02,51.14
5,Chhattisgarh,12.65,11.55,4.53,0.82,5.35,46.34
6,Delhi,0.32,0.29,0.07,0.22,0.29,101.4
7,Goa,0.4,0.32,0.02,0.05,0.08,23.48
8,Gujarat,26.81,24.91,12.65,0.64,13.3,53.39
9,Haryana,9.53,8.63,10.47,1.15,11.61,134.56
10,Himachal Pradesh,1.07,0.97,0.2,0.16,0.36,36.83
11,Jharkhand,6.15,5.64,0.93,0.72,1.64,29.13
12,Karnataka,18.16,16.4,9.6,1.03,10.63,64.85
13,Kerala,5.65,5.12,1.16,1.48,2.65,51.68
14,Madhya Pradesh,36.16,33.38,17.33,1.64,18.97,56.82
15,Maharashtra,32.01,30.25,15.29,1.34,16.63,54.99
16,Manipur,0.51,0.46,0.003,0.02,0.02,5.12
17,Meghalaya,2.04,1.82,0.03,0.05,0.08,4.22
18,Mizoram,0.22,0.2,0,0.01,0.01,3.81
19,Nagaland,2.17,1.95,0.002,0.02,0.02,1.04
20,Odisha,17.08,15.71,5.5,1.36,6.86,43.65
21,Punjab,22.8,20.59,32.8,1.05,33.85,164.42
22,Rajasthan,12.24,11.07,14.37,2.27,16.63,150.22
23,Sikkim,0.96,0.86,0,0.01,0.01,0.86
24,Tamil Nadu,19.59,17.69,13.52,1.15,14.67,82.93
25,Telangana,16.63,15.03,7.13,0.88,8.01,53.32
26,Tripura,1.47,1.24,0.02,0.08,0.1,7.94
27,Uttar Pradesh,72.2,66.88,41.29,4.74,46.03,68.83
28,Uttarakhand,2.02,1.85,0.63,0.24,0.87,46.8
29,West Bengal,29.33,26.56,10.84,1,11.84,44.6
30,Andaman and Nicobar,0.32,0.28,0.0001,0.01,0.01,2.6
31,Chandigarh,0.06,0.06,0.01,0.04,0.05,80.6
32,Dadra and Nagar Haveli,0.07,0.07,0.01,0.02,0.03,45.99
,Daman and Diu,0.03,0.03,0.003,0.03,0.03,113.38
33,Jammu and Kashmir,4.68,4.22,0.2,0.69,0.89,21.03
34,Ladakh,0.12,0.11,0.001,0.02,0.02,17.9
35,Lakshadweep,0.01,0.005,0,0.003,0.003,58.47
36,Puducherry,0.22,0.2,0.1,0.05,0.15,74.27
Grand Total,Grand Total,436.15,397.62,217.61,27.3,244.92,61.6
